"vein","structure","veins"
"vein","structure","venation"
"node","structure","nodes"
"basal sheath","structure","basal leaf-sheath"
"face","structure","faces"
"apex","structure","apices"
"ligule","structure","leaf ligule"
"sheath","structure","leaf-sheath"
"sheath","structure","leaf sheath"
"basidioma","structure","basidiome"
"rimoportula","structure","rimoportule"
"dorsal alitrunk","structure","alitrunk dorsum"
